Model,Dataset,AUPR
degree_cons,dscript,0.090912939483098
RF_MDS,dscript,0.365756449833396
SVM_MDS,dscript,0.114645104673094
RF_node2vec,dscript,0.362957991041378
SVM_node2vec,dscript,0.0995998213950796
RF_PCA,dscript,0.372842178366055
SVM_PCA,dscript,0.0959702368649025
degree_cons,du,0.820263668587709
degree_hf,du,0.831668498847512
RF_MDS,du,0.685658805021772
SVM_MDS,du,0.587156359824409
RF_node2vec,du,0.700316295982822
SVM_node2vec,du,0.572566033588323
RF_PCA,du,0.695330235884286
SVM_PCA,du,0.476508775916531
degree_cons,guo,0.586673384839324
degree_hf,guo,0.682984564832029
RF_MDS,guo,0.614208072095038
SVM_MDS,guo,0.581066964957945
RF_node2vec,guo,0.60525334716504
SVM_node2vec,guo,0.546161876992266
RF_PCA,guo,0.609403258802452
SVM_PCA,guo,0.508274095293039
degree_cons,huang,0.898071234350256
degree_hf,huang,0.898776543316204
RF_MDS,huang,0.833395525664214
SVM_MDS,huang,0.783073938903649
RF_node2vec,huang,0.831431180095869
SVM_node2vec,huang,0.57679177516032
RF_PCA,huang,0.823458415624314
SVM_PCA,huang,0.482559560344632
degree_cons,pan,0.894015378166845
degree_hf,pan,0.910715178788425
RF_MDS,pan,0.773620404311438
SVM_MDS,pan,0.593344896466347
RF_node2vec,pan,0.858248916614492
SVM_node2vec,pan,0.48684018837706
RF_PCA,pan,0.828413836984959
SVM_PCA,pan,0.467098422349954
degree_cons,richoux-regular,0.666551393958305
degree_hf,richoux-regular,0.728917823012817
RF_MDS,richoux-regular,0.822559142405941
SVM_MDS,richoux-regular,0.573169801682218
RF_node2vec,richoux-regular,0.767840156608291
SVM_node2vec,richoux-regular,0.482115786302213
RF_PCA,richoux-regular,0.789665912546
SVM_PCA,richoux-regular,0.497754676781157
degree_cons,richoux-strict,0.613273921200751
degree_hf,richoux-strict,0.646449704142012
RF_MDS,richoux-strict,0.682724252491694
SVM_MDS,richoux-strict,0.522923967293193
RF_node2vec,richoux-strict,0.678202834732352
SVM_node2vec,richoux-strict,0.495245768370932
RF_PCA,richoux-strict,0.671743472677985
SVM_PCA,richoux-strict,0.480185350824886
DeepFE,dscript,0.7156
DeepFE,du,0.6043
DeepFE,guo,0.5217
DeepFE,huang,0.8868
DeepFE,pan,0.9269
DeepFE,richoux-regular,0.6986
DeepFE,richoux-strict,0.6717
deepPPI_FC,dscript,0.2353
deepPPI_FC,du,0.6038
deepPPI_FC,guo,0.5453
deepPPI_FC,huang,0.5891
deepPPI_FC,pan,0.5743
deepPPI_FC,richoux-regular,0.776
deepPPI_FC,richoux-strict,0.6167
deepPPI_LSTM,dscript,0.0909
deepPPI_LSTM,du,0.5016
deepPPI_LSTM,guo,0.4982
deepPPI_LSTM,huang,0.4852
deepPPI_LSTM,pan,0.8651
deepPPI_LSTM,richoux-regular,0.7561
deepPPI_LSTM,richoux-strict,0.6356
PIPR,dscript,0.7872
PIPR,du,0.6622
PIPR,guo,0.5177
PIPR,huang,0.562
PIPR,pan,0.9834
PIPR,richoux-regular,0.885
PIPR,richoux-strict,0.7331
SPRINT,du,0.3445
SPRINT,guo,0.5849
SPRINT,huang,0.5621
SPRINT,pan,0.8066
SPRINT,richoux-regular,0.8402
SPRINT,richoux-strict,0.7299
SPRINT,dscript,0.5014
D-SCRIPT,du,0.794207411918373
D-SCRIPT,guo,0.69019827148697
D-SCRIPT,huang,0.862543069844755
D-SCRIPT,pan,0.867977717928805
D-SCRIPT,richoux-regular,0.763187917452155
D-SCRIPT,richoux-strict,0.7623826538983
D-SCRIPT,dscript,0.618806558474864
Topsy_Turvy,du,0.534838408381155
Topsy_Turvy,guo,0.644752042768716
Topsy_Turvy,huang,0.425796968951418
Topsy_Turvy,pan,0.876044680123975
Topsy_Turvy,richoux-regular,0.86846937012552
Topsy_Turvy,richoux-strict,0.815019243366742
Topsy_Turvy,dscript,0.679105797178586
